央视V6,#genre#
湖北卫视,http://tvbox.netsite.cc/proxy/1513765070/1513765070.m3u8
四川卫视,http://tvbox.netsite.cc/proxy/1364123916/1364123916.m3u8
贵州卫视,http://tvbox.netsite.cc/proxy/344811278/344811278.m3u8
安徽卫视,http://tvbox.netsite.cc/proxy/1453839032/1453839032.m3u8
广西卫视,http://tvbox.netsite.cc/proxy/1407270894/1407270894.m3u8
兵团卫视,http://tvbox.netsite.cc/proxy/1502802665/1502802665.m3u8
香港秒开电视,https://nhkwlive-ojp.akamaized.net/hls/live/2003459/nhkwlive-ojp-en/index_2M.m3u8
浙江V4,#genre#
浙江卫视,https://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
浙江公共新闻,https://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8
浙江国际,https://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
浙江少儿,https://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
浙江教科影视,https://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
浙江数码时代,https://ali-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8
浙江民生休闲,https://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
浙江经济生活,https://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8
浙江钱江频道,https://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8
一梦影视,#genre#
想看哪个电视台,https://qqq.gtimg.cn/music/photo_new/T053XD00000380dNJ1fz0xB.jpg
联系一梦微信,https://qqq.gtimg.cn/music/photo_new/T053XD00000380dNJ1fz0xB.jpg
微信：yimeng983,https://qqq.gtimg.cn/music/photo_new/T053XD00000380dNJ1fz0xB.jpg
