央视卫视,#genre#
cctv9,http://8.146.211.219:2041/live_tv?pid=cctv9
cctv10,http://8.146.211.219:2041/live_tv?pid=cctv10
cctv11,http://8.146.211.219:2041/live_tv?pid=cctv11
cctv12,http://8.146.211.219:2041/live_tv?pid=cctv12
cctv13,http://8.146.211.219:2041/live_tv?pid=cctv13
cctv14,http://8.146.211.219:2041/live_tv?pid=cctv14
cctv15,http://8.146.211.219:2041/live_tv?pid=cctv15
cctv16hd,http://8.146.211.219:2041/live_tv?pid=cctv16hd
cctv17,http://8.146.211.219:2041/live_tv?pid=cctv17
cctvnews,http://8.146.211.219:2041/live_tv?pid=cctvnews
cetv1,http://8.146.211.219:2041/live_tv?pid=cetv1
cetv2,http://8.146.211.219:2041/live_tv?pid=cetv2
cetv4,http://8.146.211.219:2041/live_tv?pid=cetv4
cntv240,http://8.146.211.219:2041/live_tv?pid=cntv240
faxianzhilv,http://8.146.211.219:2041/live_tv?pid=faxianzhilv
laogushi,http://8.146.211.219:2041/live_tv?pid=laogushi
lunbo11,http://8.146.211.219:2041/live_tv?pid=lunbo11
lunbo14,http://8.146.211.219:2041/live_tv?pid=lunbo14
lunbo20,http://8.146.211.219:2041/live_tv?pid=lunbo20
lunbo30,http://8.146.211.219:2041/live_tv?pid=lunbo30
lunbo32,http://8.146.211.219:2041/live_tv?pid=lunbo32
lunbo38,http://8.146.211.219:2041/live_tv?pid=lunbo38
lunbo9,http://8.146.211.219:2041/live_tv?pid=lunbo9
zhongxuesheng,http://8.146.211.219:2041/live_tv?pid=zhongxuesheng

卫视频道,#genre#
浙江卫视,http://121.41.36.144:2011/live_tv?pid=ZJTV
湖南卫视,http://121.41.36.144:2011/live_tv?pid=HNTV
江苏卫视,http://121.41.36.144:2011/live_tv?pid=JSTV
上海东方卫视,http://121.41.36.144:2011/live_tv?pid=SHDFTV
北京卫视,http://121.41.36.144:2011/live_tv?pid=BJTV
河北卫视,http://121.41.36.144:2011/live_tv?pid=HEBTV
辽宁卫视,http://121.41.36.144:2011/live_tv?pid=LNTV
安徽卫视,http://121.41.36.144:2011/live_tv?pid=AHTV
山西卫视,http://121.41.36.144:2011/live_tv?pid=SXTV
黑龙江卫视,http://121.41.36.144:2011/live_tv?pid=HLJTV
新疆卫视,http://121.41.36.144:2011/live_tv?pid=XJTV
海南卫视,http://121.41.36.144:2011/live_tv?pid=LYTV
广东卫视,http://121.41.36.144:2011/live_tv?pid=GDTV
吉林卫视,http://121.41.36.144:2011/live_tv?pid=JLTV
四川卫视,http://121.41.36.144:2011/live_tv?pid=SCTV
深圳卫视,http://121.41.36.144:2011/live_tv?pid=SZTV
江西卫视,http://121.41.36.144:2011/live_tv?pid=JXTV
陕西卫视,http://121.41.36.144:2011/live_tv?pid=SXTVS
湖北卫视,http://121.41.36.144:2011/live_tv?pid=HBTV
河南卫视,http://121.41.36.144:2011/live_tv?pid=HENTV
青海卫视,http://121.41.36.144:2011/live_tv?pid=QHTV
云南卫视,http://121.41.36.144:2011/live_tv?pid=YNTV
贵州卫视,http://121.41.36.144:2011/live_tv?pid=GZTV
广西卫视,http://121.41.36.144:2011/live_tv?pid=GXTV
KAKU少儿,http://121.41.36.144:2011/live_tv?pid=KKKT
哈哈炫动,http://121.41.36.144:2011/live_tv?pid=XDKT
重庆卫视,http://121.41.36.144:2011/live_tv?pid=CQTV
内蒙古卫视,http://121.41.36.144:2011/live_tv?pid=NMGTV
甘肃卫视,http://121.41.36.144:2011/live_tv?pid=GSTV
宁夏卫视,http://121.41.36.144:2011/live_tv?pid=NXTV
西藏卫视,http://121.41.36.144:2011/live_tv?pid=XZTV
兵团卫视,http://121.41.36.144:2011/live_tv?pid=BTTV
天津新闻,http://121.41.36.144:2011/live_tv?pid=TJXW
天津影视,http://121.41.36.144:2011/live_tv?pid=TJYS
天津体育,http://121.41.36.144:2011/live_tv?pid=TJTY
天津教育,http://121.41.36.144:2011/live_tv?pid=TJKJ

咪咕频道,#genre#
CCTV-1综合,http://8.146.211.219:2021/live_tv?pid=cctv1hd
CCTV-2财经,http://8.146.211.219:2021/live_tv?pid=cctv2hd
CCTV-3综艺,http://8.146.211.219:2021/live_tv?pid=cctv3hd
CCTV-4中文国际,http://8.146.211.219:2021/live_tv?pid=cctv4hd
CCTV-5体育,http://8.146.211.219:2021/live_tv?pid=cctv5hd
CCTV-5+体育赛事,http://8.146.211.219:2021/live_tv?pid=cctv5plusnew
CCTV-6电影,http://8.146.211.219:2021/live_tv?pid=cctv6hd
CCTV-7国防军事,http://8.146.211.219:2021/live_tv?pid=cctv7hd
CCTV-8电视剧,http://8.146.211.219:2021/live_tv?pid=cctv8hd
CCTV-9纪录,http://8.146.211.219:2021/live_tv?pid=cctv9hd
CCTV-10科教,http://8.146.211.219:2021/live_tv?pid=cctv10hd
CCTV-11戏曲,http://8.146.211.219:2021/live_tv?pid=cctv11hd
CCTV-12社会与法,http://8.146.211.219:2021/live_tv?pid=cctv12hd
CCTV-13新闻,http://8.146.211.219:2021/live_tv?pid=cctv13
CCTV-14少儿,http://8.146.211.219:2021/live_tv?pid=cctv14hd
CCTV-15音乐,http://8.146.211.219:2021/live_tv?pid=cctv15hd
CCTV-17农业农村,http://8.146.211.219:2021/live_tv?pid=cctv17hd
CCTV-4欧洲,http://8.146.211.219:2021/live_tv?pid=cctv4ouhd
CCTV-4美洲,http://8.146.211.219:2021/live_tv?pid=cctv4meihd
CCTV-9Documentary,http://8.146.211.219:2021/live_tv?pid=doc
CCTV-阿拉伯语,http://8.146.211.219:2021/live_tv?pid=alabo
CCTV-西班牙语,http://8.146.211.219:2021/live_tv?pid=xibanya
CCTV-法语,http://8.146.211.219:2021/live_tv?pid=fayu
CCTV-俄语,http://8.146.211.219:2021/live_tv?pid=eyu
老故事,http://8.146.211.219:2021/live_tv?pid=cctvlaogushi
发现之旅,http://8.146.211.219:2021/live_tv?pid=faxianzhilv
中学生,http://8.146.211.219:2021/live_tv?pid=cctvzhongxuesheng
CGTN,http://8.146.211.219:2021/live_tv?pid=cctvnews
东方卫视,http://8.146.211.219:2021/live_tv?pid=dongfangwshd
广东卫视,http://8.146.211.219:2021/live_tv?pid=gdws
湖北卫视,http://8.146.211.219:2021/live_tv?pid=hubeiwshd
江苏卫视,http://8.146.211.219:2021/live_tv?pid=jiangsuhd
吉林卫视,http://8.146.211.219:2021/live_tv?pid=jilin
江西卫视,http://8.146.211.219:2021/live_tv?pid=jxwshd
海南卫视,http://8.146.211.219:2021/live_tv?pid=lvyou
陕西卫视,http://8.146.211.219:2021/live_tv?pid=shan3xiws
大湾区卫视,http://8.146.211.219:2021/live_tv?pid=nfws
青海卫视,http://8.146.211.219:2021/live_tv?pid=qinghai
第一财经,http://8.146.211.219:2021/live_tv?pid=dycj
上海新闻综合,http://8.146.211.219:2021/live_tv?pid=xinwenzonghehd
NBA经典,http://8.146.211.219:2021/live_tv?pid=nba
赛事最经典,http://8.146.211.219:2021/live_tv?pid=saishijingdian
劲爆体育,http://8.146.211.219:2021/live_tv?pid=jinbaotyhd
魅力足球,http://8.146.211.219:2021/live_tv?pid=mlzuhd
中国足球风云,http://8.146.211.219:2021/live_tv?pid=eufootball
